joke,total_votes,positive_votes,negative_votes
,,,
"На вопрос собеседования «Хорошо ли вы работаете в стрессовых ситуациях?» стоит отвечать «А эта работа связана с реальными стрессовыми ситуациями? Как скорая или пожарная? Или вы просто просираете сроки из-за плохого менеджмента, неравномерного распределения обязанностей и чрезмерного чувства собственной важности топ-менеджмента?»",1036.0,966.0,70.0
"Колобок - это сказка про взросление. Парень уходит из родительского дома, успешно преодолевает жизненные этапы (социализация — заяц, работа — волк, бытовые трудности — медведь), а потом встречает женщину, которая обманом завлекает его и уничтожает как личность.",1013.0,943.0,70.0
"Бывшая жена Потанина требует от экс-мужа 50% доли в Норникеле. Народ России, который строил Норникель, ничего не требует...",1270.0,1169.0,101.0
"Детство заканчивается в тот момент, когда ты перестаёшь бояться сдавать кровь на анализ и начинаешь бояться его результатов.",882.0,827.0,55.0
"Путин рассказал россиянам, что у них теперь есть гиперпуперзвуковая ракета, способная поразить Америку.А о том, что у россиян зарплаты и пенсии, способные поразить Америку - не рассказал.",1840.0,1469.0,371.0
"Новость на Яндексе 9 декабря:Чубайс обвинил россиян в неблагодарности, и заявил, что ""всё общество должно сказать большое спасибо олигархам, за последние 25 лет отстроившим страну и вернувшим людям зарплаты"".Новость на Яндексе 10 декабря:Чубайс стал обладателем высшего мирового достижения для книги рекордов Гиннеса, как индивид, всего за сутки посланный на *** 146 миллионов раз абсолютно разными людьми.",1530.0,1405.0,125.0
"- Они вон чо, им ничо, а мы ничо, нам вон чо!- Господин министр спорта, у вас есть что еще сказать по поводу отстранения сборной РФ от олимпийских игр?",1196.0,1037.0,159.0
,,,
"Стоит гаишник с утра злой. С женой поссорился, дочь вчера опять двойку принесла из школы, мороз на улице...Смотрит, несётся на огромной скорости ""Мерседес"". Останавливает гаишник машину и с ходу начинает орать на водителя:- Ах ты ж, твою мать! Почему скорость решил не соблюдать, несёшься по встречной? Что, правила не для тебя придумали?! Документы сюда, быстро!Оцепеневший и бледный водитель протягивает ему документы, которые гаишник сразу же рвёт, бросает ему обратно в салон, плюёт ему в лицо и с криком: ""Марш за мной, козёл!"" двигается по направлению к патрульному автомобилю.Затем полицейский оглядывается, смотрит на номерные знаки ""Мерседеса"" и с ужасом замечает серию ""АМР"".Тут же разворачивается, подходит к водителю и начинает оправдываться:- Простите, сам не знаю, что на меня нашло... С утра день не задался, а за права не переживайте, я вам новые сделаю, завтра же!Водитель, вытирая пот со лба:- Да хрен с ними, с правами! Меня же чуть инфаркт не хватил! Я ведь подумал, что власть поменялась!",2172.0,2031.0,141.0
Главное - до Нового года не поссориться с Марокко.,1834.0,1647.0,187.0
"04.12.2014Путин:Я прошу Банк России и правительство провести жесткие, скоординированные действия, чтобы отбить охоту у так называемых спекулянтов играть на колебаниях курса российской валюты. И что хотел бы в этой связи сказать: власти знают, кто эти спекулянты, и инструменты влияния на них есть, пришло время воспользоваться этими инструментами.05.12.2014Чубайс попал в больницу с переломом обеих рук.",1595.0,1373.0,222.0
"Хватит уже ругать Президента! Дайте ему срок, и всё наладится!",1048.0,920.0,128.0
Функции фена в понимании женщин:1. Сушить волосы.2. Петь в него.3. Сдувать пыль.Функции фена в понимании мужчин:1. Сушить выстиранные носки.2. Пугать кота.,1049.0,919.0,130.0
"Омоновец лупит демонстранта дубинкой: ""Нельзя призывать к свержениювласти!"". Демонстрант, пытаясь увернуться: ""Да я не призывал! Я всеголишь за честные выборы!"". Омоновец начинает лупить еще чаще: ""Такчестные выборы - это и есть свержение этой власти!""",1854.0,1440.0,414.0
"Молодой фермер, призванный на военную службу, в письме домой написал:""Эта армейская жизнь - сплошное удовольствие. Можно валяться в постелидо пяти часов утра"".",1388.0,1262.0,126.0
,,,
Худею сразу по трем диетам. По одной не наедаюсь.,1116.0,969.0,147.0
