joke,total_votes,positive_votes,negative_votes
– Это дом престарелых?– Да! Это Новогодний Голубой огонёк!,312.0,236.0,76.0
"Разведчик Иванов был настолько хорош, что его ребёнок верил в Деда Мороза до 45 лет.",271.0,207.0,64.0
"На Новый год дети вели себя так, что Дед Мороз забрал подарки прошлого года….",233.0,190.0,43.0
"Ваша вечеринка удалась, если на следующий день все участники выкладывают ролики с извинениями.",261.0,189.0,72.0
"Все старшилки, кто еще мог что-то показать, попали на голую вечеринку.Остальные, кто уже не был в состоянии показать хоть что-то - попали на новогодние каналы.",195.0,80.0,115.0
"B пcиxyшкy пpиеxaлa кoмиccия. Xoдят, cмoтpят. Пoднимaютcя нa пpедпocледний этaж, глядь, a нa пocледний xoдa нет - леcтницa пеpегopoженa тoлcтoй pешеткoй aж c тpемя зaмкaми! Пpедcедaтель кoмиccии - глaввpaчy:- A чтo тaм y вac?- Челoвек-тpyбa.- Xoтим пocмoтpеть! Oткpoйте!- Hy xoтите - идите. Boт ключи.- A вы?- Дa мы yже видели, чегo нaм-тo xoдить.Koмиccия и пoшлa. Зaxoдят в пaлaтy, a тaм нa единcтвеннoй кoйке вaляетcя здopoвенный бpитый жлoб. Увидел иx, вcтaл, пoдxoдит вpaзвaлoчкy:- Taбaчкy не бyдет?Дaли емy cигapетy. Oн ее pacкpoшил, выcыпaл тaбaк cебе нa лыcинy, пoджег егo. Пocмoтpел нa кoмиccию мyтным взглядoм и paccтегивaет штaны:- Hy a тепеpь - кaждый пo зaтяжке!",402.0,71.0,331.0
"Уважаемая редакция, спасибо вам за рецепт! Правда, шабли мы заменили на жигулевское, устрицы на икру воблы, каперсы на репчатый лук, но все равно вышло классно.",176.0,66.0,110.0
В действительности 2023 был ещё неплохим.Скоро сами увидите.,89.0,64.0,25.0
"Дык отметим же очередной оборот землицы нашей, вокруг солнушка ясного, светила светлого. Да пребудет с нами мир, счастье и доброта.",71.0,51.0,20.0
Василий собрался эмигрирововать в Израиль и решил сделать обрезание. Моэль перестарался и теперь Василий подался в трансвеститы.,280.0,50.0,230.0
"Утром 1 января у магазина Петрович рассказывал коллегам, что в новогоднюю ночь к нему приходил то ли Дед Склероз, то ли Дед Цирроз.",169.0,47.0,122.0
"Пусть в Новом году у вас будет только белая дорожка по жизни! Ой, пардон, белая полоса!",175.0,43.0,132.0
"— Почему Дед Мороз приходит на праздник с внучкой, но без детей?!— Наверное, потому что они у него отМОРОЗки!",185.0,35.0,150.0
"Слово пацана и вечеринка у Насти обозначили чёткие границы того, о чём ещё можно шутить.",43.0,30.0,13.0
В 2023 году 59 россиян депортированы с острова Бали: заебали!,50.0,28.0,22.0
"Раньше КВН был для того, чтобы дать возможность талантливым юмористам пробиться на тв!Сейчас КВН для того, чтобы те, кто не смог пробиться на ютубе, смогли  появиться хотя бы на тв…©Полищук",47.0,27.0,20.0
"Только проверенные столетиями мумии могут принимать участие в ""Голубом огоньке""!",43.0,25.0,18.0
"А Вы знали что после употребления ""Шампанского"", ваша отрыжка наиболее обогащена СО2?Будьте прокляты!Грета Тумберг.",51.0,21.0,30.0
"Лучше быть в одном носке, чем в чёрном мешке!",47.0,17.0,30.0
"- Бэрримор, что происходит? Джека Стэплтона тошнит за карточным столом!- Блефует, сэр...",32.0,17.0,15.0
А нам Новый год принёс новые квитанции на ЖКХ.,27.0,15.0,12.0
"Если вы – молодая женщина, то всё лучшее у вас в переди!",36.0,13.0,23.0
"Несушка это домохозяйка, которая знает в какой магазин поступили яйца и несёт их оттуда домой.",30.0,11.0,19.0
"- Глядя ""С лёгким паром"", я таки понял, что при СССР в баню ходили с паспортом.- Так и сейчас так ходят!- Понимаю. Стабильность.",31.0,11.0,20.0
"- Петрович, ты слышал? Голозадовечеринных убирают с Голубого огонька!- Голубую муть я так и так смотреть не собираюсь.",31.0,9.0,22.0
"— Доктор, почему я когда выпью, то на следующее утро просыпаюсь с опухшими глазами?— А чем закусываете?— Селёдкой.— Вот от солёной селёдки и отёк.",22.0,9.0,13.0
"С первым боем курантов я пригубил ""Северного Сияния"", потом прихлебнул со вторым и так двенадцать раз... а потом, когда грянул Гимн, из меня вырвалась охуенно мощная, патриотическая отрыжка...",74.0,9.0,65.0
"За новогодним столом собрались гости. Добрались до десерта. Хозяйка спрашивает:- А как вам мой тортик? Правда, вкусный?!- Вкусный, вкусный... Особенно для тех, кто вкусного не пробовал!",35.0,7.0,28.0
- У кого лицо в меру?- У лицемера.,29.0,7.0,22.0
- Рявкни на них...- Доллар по двести!- Ой горе мне! Горе!,36.0,7.0,29.0
"Вы не знаете, чего ждать от года -дракона?-Всех тех  проблем,которые дракон ждет от людей",16.0,5.0,11.0
"-Не знаете, почему в России подорожали яйца?-После голой вечеринки увеличились расходы на их упаковку",31.0,4.0,27.0
"- Как раньше бесконечно тянулись сериалы.- Да-а, сейчас  жизнь проходит быстрее.",17.0,4.0,13.0
"- С Новым Годом! Какое шампанское вчера пил?- Ээ... сначала пиво, потом водку... голова с ночи болит ппц. Спасибо за идею, пойду шампанского хлобыстну!",22.0,3.0,19.0
"-Приезжай, у нас тут вечеринка, женщина в одном носке...-Что? В одном носке? Выезжаю.",21.0,1.0,20.0
"И вновь с вами рубрика ""Приметы, пророчества приснопамятного Колхозаврия и матушки Колхозиньи"".",37.0,1.0,36.0
"Говорят, во Франции, когда на Новый год взрывают петарды, то это очень нервирует животных, и они начинают всё жечь и разрушать.",741.0,574.0,167.0
"Только что на мэйл ру попалась статья, не имеющая никакого практического смысла: ""Эксперт объяснил, как правильно хранить открытые бутылки вина"".",438.0,364.0,74.0
После голой вечеринки выражение “голь на выдумки хитра” заиграла новыми краcками.,311.0,210.0,101.0
"Глагол - часть речи, обозначающая действие. Лежать - значит действовать. Особенно, первого января.",248.0,192.0,56.0
Как же заебал 2024 год...,290.0,108.0,182.0
"Ввиду многочисленных исков и штрафов, обрушившихся на участников «голой вечеринки», их следующее подобное мероприятие будет называться «Вечеринка голодранцев».",176.0,71.0,105.0
"Пообещали, что в новом году во всех сельских домах появится Интернет. Благодаря ему люди смогут быстрее узнать, когда у них появится газ, горячая вода, отопление и канализация.",73.0,58.0,15.0
После новогоднего праздника мама с плачущей дочкой подходит к ведущему и возмущенно заявляет:- Кто дал вам право детей оскорблять?- Как?- Вы мою дочку отморозкой назвали!- Я сказал ей - тебе подарок ОТ МОРОЗКО...,197.0,51.0,146.0
"— Мммммм… С чем эти новогодние, такие праздничные пирожки?— С тем же с чем и оливье.— Не понял, с майонезом что ли?— С твоим лишним весом.",195.0,45.0,150.0
Это Басков настучал про голую вечеринку. Его разработка. Сам не пошёл и избавился от конкурентов.,51.0,36.0,15.0
- Почему Вы пришли на вечеринку в одном носке?- Потому что второй я не нашёл.,40.0,28.0,12.0
"- Вовочка, что на Новый Год принес тебе Дед Мороз?- Вместе со Снегурочкой они принесли нам под дверь пьяного папу.",40.0,25.0,15.0
"Говорят, атеистов в окопах не бывает.Поди не врут.В каком еще месте осознаешь красоту и величие замысла всеблагого Творца всего сущего, как не в окопе?",48.0,21.0,27.0
"Палиндром Александра I:- О, да! Ненавижу папу!! Жив, а не надо!!!",45.0,21.0,24.0
Он был лицом неприкасаемым. Но она как-то загадочно смогла расцарапать его неприкасаемое лицо…,147.0,20.0,127.0
Через 100 лет на аукционе:- Носок Киркорова! Стартовая цена - 1000000 рублей!,42.0,15.0,27.0
"Если есть Ждун, то должен быть и Торопун?..",24.0,13.0,11.0
"- Девушка, а можно с Вами познакомиться?- А кто ты такой, чтобы спрашивать?- А действительно, кто я такой, чтобы спрашивать! Чтоб сегодня вечером была у меня! И еще с подружками своими меня познакомишь!(с) Юрий Тубольцев",43.0,13.0,30.0
"Капец, до нового года 363 дня, а все поставили ёлки дома",27.0,13.0,14.0
"И проснулся я, и подняли мне веки, и увидел я, что написано тута, и сказал я: «закройте мне веки обратно, и положите лицом в салат до завтра».",26.0,12.0,14.0
"Все время думаю теперь, зашел я голый "" в не ту дверь"". Думал прачечная, а оказалось ху.же - наше министерство культуры.",30.0,11.0,19.0
"После ""голой вечеринки"" народ попытался повторить номер с носком.Отсюда и всеобщее возмущение.",29.0,11.0,18.0
Кони возмутились когда узнали как люди называют свои борзые цены.,22.0,10.0,12.0
