id,joke,label
0,"Бессонница не столько мешает спать, сколько заставляет думать...",1
1,Импланты для ягодиц - изощренный способ засунуть деньги себе в задницу.,4
2,"- У нас рекордно низкая безработица, близка к нулю. И продолжает снижаться.- Но может ли безработица быть ниже нуля???- Конечно. Некоторые на двух работах работают.",4
3,"- К сожалению, мы не можем взять вас на работу. Шеф говорит, что рискованно брать на работу любителя коньяка.- Но с чего вы взяли, что я любитель коньяка?- Вы в переписке постоянно пишете ХОрошо.",3
4,"Жена мужу на отдыхе.- Я тебя на минуту отпустила к шведскому столу, а у тебя уже палец в крови.- Просто у пармезана очень тонкие ломтики, вот я и порезался, когда брался.",1
5,"Есть куда более постыдные и аморальные профессии, чем проституция, которые не запрещены. Например, риэлтор.",4
6,Гарри Поттер и неиссякаемая бутылка рома. Сказка для взрослых мальчиков.,1
7,На ЕГЭ попался волосатый бланк ответов. Пришлось подать эпиляцию.,2
8,"Два тестировщика в баре:— Ты как будешь, виски или водку?— Давай виски, но разбавленный.— Зачем? Так же невкусно!— Зато больше тест-кейсов можно покрыть.",0
9,В жопу этот алкоголь! Сказал сантехник и нажал на клизму.,2
10,"- Доктор, у меня такая проблема... После 21:00 начинает страшно голова болеть. Чтобы это могло быть?- Голубчик, а о смене пола вы не задумывались?",4
11,Из всех видов спорта обливание своим потом пока что самый олимпийский вид!,0
12,"В параллельной вселенной: ""Внимание! В России принят новый закон, обязывающий всех граждан быть счастливыми. Тех, кто не выполняет норму счастья, будут штрафовать и отправлять на принудительные курсы позитивного мышления.""",0
13,"Генсек ООН приехал на саммит Шанхайской организации сотрудничества, и скромно спросил,- Мне у вас местечка не найдётся? А то в энтом ООНе, мне и пёрднуть нельзя...",1
14,"После выпуска новостей, посетила мысль:Кто-нибудь знает, вообще, как звали капитана «Титаника», остались ли у него родственники?",2
15,"Независимо от того, пышка девушка или нет, но пара булочек и пирожок всегда при ней",2
16,"- Эмма Сигизмундовна, вопрос как к профессионалу: вот кто вам больше нравится - Дон Кихот или Дон Жуан?- Как любительнице - Дон Периньон.",0
17,"Если женщина спрашивает у тебя совета, задавай ей наводящие вопросы - это позволит тебе понять, какого именно совета она от тебя ждет.",4
18,"- Моня, а почему в Латвии строительство ""Reil Baltika"" назвали ""Стройка Века"" ?- Шлёма я тя умоляю - они собираються ВОРОВАТЬ на этом ЦЕЛЫЙ ВЕК !!!",4
19,"Лет через 50...- Смотри, что я придумал! Просто нажимаешь кнопку на стене и свет тихо включается или выключается! И не надо орать ""Алиса включи свет"".",0
20,"Что мне понравилось в этом фильме - так это то, что в нём всего 2 серии.",1
21,"- Ало? Кто это зво́нит?- Не зво́нит, а звони́т!- А чойта вы на меня ки́даетесь?- Не ки́даюсь, а кида́юсь! Не кида́юсь, а бросаюсь! Не бросаюсь, а вежливо поправил! И вообще, не звоните мне больше!- Так это ж вы сами мне зво́ните, ало!- Аргх! [бросает трубку]",1
22,"Замкнутый круг какой-то: мать сказала слушать отца, а отец сказал никогда не слушать баб...",4
23,"- Хорошо, дождичек прошел! Полегче стало. Гроза вроде собирается…- Да, слава богу, дотуда наши радетели об народе еще не дотянулись…",1
24,"""Опять двадцать пять"" в Кыштыме не присказка, а прогноз погоды.",4
25,"В чем одна из основных проблем человечества?В том, что одни идиоты прогнозируют будущее, а другие - считают эти прогнозы инструкцией к исполнению...",1
26,"Те кто опасаются, что как-бы чего не вышло, не опасайтесь - как раз то у вас нихера не выйдет...",1
27,"Самые психологически устойчивые и адекватные люди - это космонавты и астрономы. Они точно знают, что мир - это не то, что вращается вокруг них.",0
28,"- Мой муж каждый день приносит домой рыбу.- Он у вас - рыбак?- Нет, директор рыбного магазина.",1
29,"Программисты: мы гарантируем только то, что наша программа будет занимать место.Врачи: мы гарантируем только то, что наше лечение опустошит ваши карманы.",0
30,"В Помпеях нашли храм с голубыми стенами, а в Ватикане нашли храм с голубыми, правда они не особо и скрывались!",1
31,Вчера носил кошку в ветеринарную клинику делать МРТ.Цены не человеческие. Просто конские.,4
32,"Две подряд рекламы в моём телевизоре: 1) у неё появилась родинка - это признак рака, 2) у всех поколений этой семьи много родинок - передайте их по наследству.",1
33,"- Это что ?- Геморойские горы .- ЧТО ?- Поскольку на Гималайские они ну явно не тянут - местные называют их Геморойскими . Там ""малые Геморои"", а вона там ""великие Геморои"".",2
34,"Государства создавались, когда бандиты объединялись, чтобы грабить крестьян.Но при этом бандиты защищали крестьян от других бандитов.Кто-нибудь скажите это ментам!",4
35,"То, что продолжительность жизни у нас растет, радует всех россиян, кроме работников крематория.",0
36,"Что президента хорошо, то потом - ""тяжелые испытания, выпавшие на долю народа"".",4
37,"Работаем в цветочном. Одна компания заказала мега-партию белых хризантем для какого-то грандиозного праздника. Цена их не волновала!! Но, что-то там случилось в дороге, и партия опоздала на пару дней. Клиент платить отказался – мол, мероприятие уже прошло...Короче, всё как бы ушло на второй план, и больше нету никаких проблем, кроме этих хризантем, кроме белых опоздавших хризантем...©Полищук",1
38,"С учетом того, что новый президент может отменить указ старого президента, просьба  Хантеру Байдену помнить - Ростов не резиновый.",4
39,В Беларуси средняя зарплата по стране резко подпрыгнула вверх – теннисистка Арина Соболенко за 12 последних месяцев заработала 14 миллионов долларов.,0
40,Кто поздно встаёт — тот атеист!,4
41,"У девушек есть примета: если выйдешь замуж за хорошего мужика, то сразу с тобой все твои подруги перессорятся.",1
42,Можно ли супружеский долг отдать жене через её подругу?,2
43,"Всё-таки комедия - это единственный жанр, который надо присваивать фильму не перед съемками или прокатом, а исключительно по итогам просмотра.",2
44,"Убить одним выстрелом двух кроликов гораздо проще, чем двух зайцев, потому что они гораздо чаще спариваются.",3
45,"- Владимир Петрович, а почему у Абрама Яковлевича зарплата в три раза больше, чем у остальных менеджеров?- Он гениальный продажник, в прошлом месяце наших нелеквидов продал больше чем на пять миллионов.- Ну и что, так все работают.- Но он продал телефонным мошенникам с Украины.",4
46,"-Мэр подписал постановление о повышении стоимости погребения...-Так что живите и въёбывайте, пока на погребение по новой таксе не накопите...",1
47,Женский футбол весьма перспективный мировой вид спорта. Для аншлага на трибунах достаточно пригласить своих бывших.,0
48,В прошлом месяце я сел на шестнадцать суток за хулиганку. Просто хулиганка мне очень нравилась и я взял её вину на себя.,2
49,"-Ярославцев оштрафовали за плевки в общественных местах аж на 65 т. р. ( Этот закон в РФ принят только в нашем регионе).-Дело, мо быть, и нужное. Токмо вот... Хотелось бы узнать... На сколько оштрафовали администрацию области за то, что она плевать хотела на уборку улиц в областном центре?",2
50,"– У тебя, вообще, стоит?– Стоит.– Что-то давно не видела.– Пойдём к соседке. Покажу.",4
51,Однажды Солнце ходило без панамки и получило удар Чака Норриса,2
52,"Если вы хотите произвести впечатление на девушку, пригласите ее в ресторан. Если хотите произвести впечатление на ее родителей - оплатите счет.",1
53,"Сегодня мы поздравляем всех тех, кто в настоящее время строит отношения, с их профессиональным праздником - Днем строителя!",2
54,"""Вампиры боятся солнца даже больше, чем пламени.Даже слабейший солнечный свет кроет в себе опасность, и даже пропущенные через плотный занавес, лучи дневного светила губительны для вампира."" Но почему-то свет Луны для них не опасен,ведь свет Луны это отражение солнечного свет?",1
55,"- Внимание, господа, - черный ящик!- Мне кажется, ведущий на похоронах - это уже слишком.",4
56,"Четыре английских леди выросли вместе. Были подругами. Каждый четверг они играли в бридж. Ни у кого не сложилась личная жизнь, они потихоньку состарились в своих за́мках в одиночестве. Каждый четверг, ровно в восемь вечера, они собирались вместе, чтобы сыграть несколько робберов. Однажды, когда им было уже далеко за 80, одна из них не явилась на партию. В десять минут девятого товарки по-настоящему заволновались. Они послали к ней дворецкого, опасаясь худшего. Дворецкий вернулся спустя полчаса.- Леди в порядке, - сказал он.- Но почему она не пришла на роббер?- Она просила вам передать, что ей остопиздело.",4
57,"Мальчик: устроился в Камеди Клаб, пишет шутки, получает деньги.Мужчина: заходит на анекдот.ру, пишет анекдоты, набирает плюсики.",4
58,"Приходит трансформер в автомастерскую,а там двигатели,мосты, коробки передач - в общем детали трансформерских тел.Он как блеванет шурупами",1
59,Давайте праздновать день семьи 17 апреля.Именно в этот день Толстой дописал Анну Каренину.,1
60,"Истощают не отношения, а отношение к отношениям.",1
61,"Мы можем всё и всех, да всё недосуг.",0
62,"– Господин министр, вы доверяете вашему окружению?– Разве я могу им не доверять? Ведь они все – мои родственники.",4
63,"Когда мой старший брат ушел в армию, мне, по наследству, достался его велосипед. Но, сидя на сидении, я не доставал до педалей и поэтому приноровился кататься, залезая под верхнюю планку рамы. Это был тот самый случай, когда вЕлик был велИк.",3
64,"Зная все ваши персональные данные: ФИО, девичьи фамилии матерей, даты рождения, пин коды и т.д. и т.п. - главам банков стоит неимоверных моральных усилий не перечислить все эти ваши миллиарды на безопасный счет где нибудь в Гонг Конге.Цените это, люди!",1
65,"-Слыхал? Иракского дзюдоиста дисквалифицировали на ОИ из-за допинга!-Как он посмел, редиска ближневосточная! Допинг только для избранных ВАДА-атлетов!",1
66,Жизнь как и Смерть избежать не возможно!,0
67,"Вместо борьбы с мошенниками - ""предупреждения"" об их методах?Однако. Это раSPздяйство или мошенники давно главные в обществе?",1
68,Собачья жизнь - это когда можно только молча лаять и громогласно вилять хвостом.,1
69,"У интровертов часто встречается тихая и медленная речь из-за их биологических особенностей.Они в принципе не приветствуют громкие звуки, шум, голоса, даже телефонные звонки. Их мозг итак перевозбужден в отличие от мозга экстравертов.Интроверты не нуждаются в дополнительной стимуляции мозга.",1
70,"- Всё самое постыдное, самое позорное в своей жизни я совершил, когда был пьян! Но ведь и мои красивые, благородные поступки тоже случились под воздействием паров алкоголя!- Петрович, кончай философствовать. Всё самое плохое и самое хорошее в жизни ты сделал нетрезвым по одной простой причине: ты ведь трезвым, блять, вообще никогда не бываешь!",4
71,"Века стояла Русь за яичницу на завтрак, и только в прошлом году узнала, что семенное племенное яйцо качественно несут только заграничные петухи.",1
72,"После того как один из гостей «голой вечеринки» пришёл на мероприятие в одном носке от одного известного бренда, надетом на гениталии, резко рванули вверх продажи этого носка.",0
73,Сбил Бабу Ягу портянками.Винт запутал?Зачем винт запутал? Сбил.,0
74,"Рваные джинсы, это уже прогресс. Жду когда мятое неглаженное бельё станет писком моды.",1
75,"В Ханое в товарищеской игре по футболу сойдутся сборные России и Таиланда. Нет никаких сомнений, что победителям не помешает даже сильная жара. «Никто не умрёт – уже хорошо!» — заявил тренер команды КарпИн. Очевидно, что проблем с оформлением уверенной победы с сухим счётом не возникнет даже во влажном климате. Если, конечно, в игру не вмешается тайфун «Яга», который приблизился к Вьетнаму.",0
76,"– Простите, но у меня больше нет денег любить вас.",4
77,"– Доктор. Я чувствую себя удивительно бодрым! Хочу бежать,  бороться за идею!– Вот, вам рецептик. На получение пизд…лей. Будете принимать  их утром, днём и вечером.Желание бороться вскоре пройдёт.",1
78,"Завтра о сегодняшнем дне не все смогут пошутить. Вернее, пошутить смогут не только лишь все. Мало кто сможет это сделать.",0
79,"-Слыхал? Губер оценил уборку улиц и дворов как  ""имеется положительная тенденция...""-Типа, людищки попривыкди и могут кое как передвигаться?",1
80,- Чем отличается эротика от порнографии?- Уровнем физической подготовки.,4
81,"""Один в машине? Проезда нет! Во Франции идёт борьба с вождением автомобилей в одиночку"". Скоро в стандартную комплектацию французских авто войдёт парочка резиновых женщин в одежде...",1
82,"XVII век. Бунташный век для простонародья, включая стрельцов (Смута! Соляной бунт! Медный бунт! Стрелецкий бунт!). Пока Петр I не дал по харе, развесив стрельцов где удобно было.XVIII век. Бунташный век для российского дворянства. То на императрицу с претензиями наедут, то императора убьют, то другого императора, то наследника. Пока Николай I не показал развоевавшимся дворянам их место, удалив лишние головы и рассажав особо пылких по ссылкам.ХХ век. Революция. Расшалились все, страну и экономику развалили, пошли воевать друг с другом. Большевикам пришлось собирать с нуля все единицы, Сталин успокаивал самых борзых.Вот что такое истинно эффективные управленцы)",2
83,Опытный сантехник построил себе дачу и выкопал на ней два колодца. С холодной и с горячей водой.,2
84,– Брат. Как делить будем?– Сестра! Разделим все по-братски!,2
85,"Парень рассказывает:- Вчера поссорился со своей подругой и пошёл спать к себе домой. Там узнал, что соседи купили пианино… Иду мириться.",4
86,- Что обычно ищет в магазине настоящая русская женщина?- Подкову и огнетушитель.,2
87,"- Диван - он мужского рода. И ты, Василий - мужского рода. Если вы спите вместе, значит у вас отношения, значит недаром я тебя называю гомиком…- Петрович, задолбал ты уже, завтра отдам тебе твой перфоратор…",4
88,"Продается одноэтажный домик в Орске.Наливной пол. Водяной матрас. Бассейн. Близко к реке.Находится в Оренбурге, у моста ""Европа-Азия"".Торопитесь - через неделю предложение уплывает в Казахстан!",2
89,"- Интересно, а Иисус носил крестик?- Да, но только один раз.",2
90,"- Да Петька, плохая это была идея, приглашать выпускников спецшколы анекдоты писать ...",1
91,"Уровень жизни поднялся до критической отметки. Если не принять экстренных мер, скоро жизнь перельётся через край и затопит соседей.",4
92,"Отличить плохого человека от совестливого очень легко. Плохой человек бросает мусор рядом с переполненной урной. Хороший же человек кладет мусор на вершине кучки, зная, что сила тяжести все равно положит его рядом с мусором плохого человека, но мусор хорошего человека будет светиться аурой хорошего намерения.",1
93,"Я вещи постирала, когда вытащила - оказалось, что перед этим кот в машинку насрал.",1
94,"Михалков и Малышева решили выпустить совместную передачу - ""Глистогон"".",3
95,"– В гимназии не эбался, в университете не эбался, а на работе сразу заэбался.",1
96,"- Молодой человек. Что вы за мной всё ходите и проходу не даёте. У вас нет никаких шансов. Вы мне абсолютно не интересны.- Простите. Шеф сказал, чтобы я внимательно смотрел как работает опытный специалист. Как женщина вы мне совсем не интересны.- НАГЛЕЦ!!!",4
97,"Мы готовы носить своих женщин на руках. Это относится ко всем, кроме тех, кого неизвестно где носит.",0
98,"Прихожу на день рождения к младшему братишке. Смотрю он грустный какой-то. Спрашиваю:- Ты чего такой хмурый?- Родители на ДР подарили бесчеловечный подарок!- КАКОЙ подарок?- Набор Лего, а в нём человечков нет!",4
99,Спокойно жили люди с поговоркой  – Утро вечера мудренее.Потом нашлись мудрецы. И всунули свою поговорку – Вечер утра мудренее.И все перестали работать.,1
